family,fund,regime,mode,im_regime,im_mode,im_flat,reanchor,scenario,c,seed,drawdown,client_defaults,cm_defaults,bcm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,mutualised_l4,total_df,ccp_cash_used,im_open,im_peak,im_trough,im_mean,im_peak_to_trough,im_max_jump_pct,im_responsiveness,error
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,3.0,42,-46.36147603461418,43,0,0,0,0,0,0,2367865667.0111527,0.0,2532608100.0,4744826325.0,2532608100.0,4166763638.6363635,1.8734940968561224,0.41147706587529265,0.6938650783402872,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,3.5,42,-51.6567277944671,42,1,0,1,2,0,0,2302103631.2421603,63081749.75917435,2561950500.0,4952371500.0,2561950500.0,4143975085.7954545,1.9330473012651883,0.42633493504265596,0.7411715100510878,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,4.0,42,-56.40945164327669,50,2,0,2,2,0,0,2456253110.9487424,-13788747.119106293,2453730000.0,4983857700.0,2453730000.0,4091313490.909091,2.031135332738321,0.40125261336821905,0.8190883040938988,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,1.0,43,-18.7878244497243,0,0,0,0,0,0,0,777372809.0889566,0.0,7693108738.47592,15151567247.25576,7693108738.47592,12400789435.190725,1.9694986464285222,0.23482738641947876,0.7701268465077366,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,1.0,42,-18.782226606286144,3,0,0,0,0,0,0,1389383876.786925,0.0,3118555125.0,5133301725.0,3118555125.0,4656018586.363636,1.6460513023639434,0.2509309900366119,0.5131945815547272,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,1.25,42,-22.893781105680855,10,0,0,0,0,0,0,1530656163.7600124,0.0,3082607550.0,5052689775.0,3082607550.0,4504257967.613636,1.639096022781103,0.29107429682380426,0.5076696150666925,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,1.5,42,-26.776666816123395,13,0,0,0,0,0,0,1678958671.6700037,0.0,3023955000.0,5044421812.5,3023955000.0,4481456954.545455,1.6681537299662197,0.2959258942345373,0.5307517725133859,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,1.75,42,-30.47572075505537,16,0,0,0,0,0,0,2346554175.0917163,0.0,2945258250.0,5111747550.0,2945258250.0,4382627487.5,1.7355855127474815,0.29063236644868073,0.5843165984355606,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,2.25,43,-37.387367194154294,22,0,0,0,0,0,0,1915851714.7290573,0.0,8643244680.69965,40707715146.4525,8643244680.69965,28527607728.390625,4.709772388759601,0.3582098861459544,2.9468791127678386,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,2.5,43,-40.583673286412335,27,0,0,0,0,0,0,2287698438.1794443,0.0,8872396681.256062,45080384205.90118,8872396681.256062,30962436421.405296,5.080970320132166,0.29147850978466416,3.2417423324033137,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,2.75,43,-43.52445420719954,31,0,0,0,0,0,0,2154287567.326387,0.0,9794231052.392838,48367832635.78376,9794231052.392838,34040269338.864784,4.938400204880502,0.31781068013132985,3.1284909383250614,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,3.0,43,-46.42040615053571,41,0,0,0,0,0,0,2423772199.000023,0.0,9685587255.782206,53263962289.63469,9685587255.782206,38111574613.928474,5.499301269299556,0.441150569476086,3.5740459368133717,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,1.25,43,-22.947953557179357,6,0,0,0,0,0,0,945433625.2633159,0.0,7105943226.659221,20488728195.985332,7105943226.659221,16007997867.52969,2.8833228105620368,0.33551884373377394,1.4960283466070434,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,1.5,43,-26.780831129241946,10,0,0,0,0,0,0,1079418843.7064273,0.0,7891131984.449026,24775077818.352238,7891131984.449026,18732832556.777206,3.1396101176835254,0.17530579562230497,1.6996116485131627,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,1.75,43,-30.470255973461246,18,0,0,0,0,0,0,1368864080.1829755,0.0,7934706532.164545,30652287014.210217,7934706532.164545,22254658385.77228,3.8630649904891237,0.3303049454501139,2.274292203083187,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,2.0,43,-34.08347155601381,18,0,0,0,0,0,0,1716135634.4509234,0.0,8214379388.745924,34993349243.90755,8214379388.745924,24475968949.35592,4.26001132743516,0.26403160962869987,2.5896088173262237,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,3.5,43,-51.64298202358004,46,2,0,2,2,0,0,3984447076.498186,103234809.98932362,10607011319.61357,62671970518.74185,10607011319.61357,41737949551.29074,5.908541872002555,0.46238673358953974,3.899128572032731,
H1,kalman,stressed,tiered,reactive,reactive,0.05,1,gapped,4.0,43,-56.39933653113373,46,3,0,3,2,0,0,3869560451.634497,88582618.2994051,10780949943.549011,67194874839.060844,10780949943.549011,46291448171.280045,6.23274156645799,0.41362328879153076,4.156658470861881,
