exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H1,stressed,73,True,reactive,gross,False,-18.757006412268506,1,1,0,2,False,False,525470645.90480185,-203476.3276901245,442442.981762344,5239649827.1839075,6679576396.270754
H1,stressed,74,True,reactive,gross,False,-18.825901859735605,1,1,0,2,False,False,491243565.2677758,-131621.00411987305,262493.0407004035,5227458623.452255,6181998965.153616
H1,stressed,75,True,reactive,gross,False,-18.712138209557992,3,3,0,2,False,False,426683773.56313235,1554407.7085094452,1998062.5912219556,4914186788.135195,5912356403.326171
H1,stressed,76,True,reactive,gross,False,-18.73569922383238,5,5,0,2,False,False,471990968.1910716,1258819.12484169,2418698.6910965107,5019997877.660764,6393772973.3440075
H1,stressed,77,True,reactive,gross,False,-18.72336607903826,2,2,0,2,False,False,526858326.70251757,212087.50506210327,892081.7340481172,5643683819.553075,7437073645.430923
H1,stressed,78,True,reactive,gross,False,-18.840125391849526,1,1,0,2,False,False,454300265.9505871,72546.08342170715,163201.04021133098,4627617982.285038,5676287948.930242
H1,stressed,79,True,reactive,gross,False,-18.7836141986375,2,2,0,2,False,False,480069833.3787453,275137.0247449875,402053.310933684,4948712298.95003,5889452904.7632885
H1,stressed,80,True,reactive,gross,False,-18.705391210665713,3,3,0,2,False,False,510194241.2997428,1050698.3394565582,1681608.7765342952,4995683690.193039,6649565575.605242
H1,stressed,81,True,reactive,gross,False,-18.76149051612035,5,5,0,2,False,False,565907878.3089256,2417802.892507553,3186293.6871576025,5448876896.962476,6977654166.154348
H2,calm,42,False,reactive,gross,False,-0.5886233318110334,0,0,0,0,False,False,5753682915.75,0.0,0.0,14301937612.55639,17719167015.0
H2,calm,43,False,reactive,gross,False,-0.5835489927436988,0,0,0,0,False,False,7226920713.375001,0.0,0.0,12907308347.25564,15400052595.0
