ts,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,symbol
2020-05-22 19:59:00+00:00,2949.5,2949.75,155,251,ESM0
2020-05-22 20:00:00+00:00,2950.0,2950.25,188,31,ESM0
2020-05-22 20:00:00+00:00,2940.75,2941.5,1,1,ESU0
2020-05-22 20:00:00+00:00,2934.25,2937.0,3,3,ESZ0
2020-05-22 20:00:00+00:00,2902.25,2945.75,7,7,ESH1
2020-05-22 20:00:00+00:00,2893.75,2956.25,7,7,ESM1
2020-05-22 20:01:00+00:00,2894.0,2956.5,7,7,ESM1
2020-05-22 20:01:00+00:00,2903.25,2946.5,7,2,ESH1
2020-05-22 20:01:00+00:00,2935.5,2938.25,3,3,ESZ0
2020-05-22 20:01:00+00:00,2942.0,2942.75,3,1,ESU0
2020-05-22 20:01:00+00:00,2951.25,2951.5,86,33,ESM0
2020-05-22 20:02:00+00:00,2953.0,2953.25,87,118,ESM0
2020-05-22 20:02:00+00:00,2943.75,2944.25,1,1,ESU0
2020-05-22 20:02:00+00:00,2937.25,2939.25,3,1,ESZ0
2020-05-22 20:02:00+00:00,2905.25,2946.75,7,2,ESH1
2020-05-22 20:02:00+00:00,2895.25,2957.75,7,7,ESM1
2020-05-22 20:03:00+00:00,2896.5,2959.0,7,7,ESM1
2020-05-22 20:03:00+00:00,2906.25,2947.75,7,2,ESH1
2020-05-22 20:03:00+00:00,2937.75,2940.25,3,2,ESZ0
2020-05-22 20:03:00+00:00,2944.25,2944.75,1,1,ESU0
2020-05-22 20:03:00+00:00,2953.5,2953.75,21,69,ESM0
2020-05-22 20:04:00+00:00,2953.0,2953.25,93,7,ESM0
2020-05-22 20:04:00+00:00,2944.0,2944.5,1,1,ESU0
2020-05-22 20:04:00+00:00,2937.5,2939.75,3,2,ESZ0
2020-05-22 20:04:00+00:00,2905.25,2947.75,7,2,ESH1
2020-05-22 20:05:00+00:00,2936.5,2939.25,3,5,ESZ0
2020-05-22 20:05:00+00:00,2943.0,2943.75,2,2,ESU0
2020-05-22 20:05:00+00:00,2952.25,2952.5,94,67,ESM0
2020-05-22 20:06:00+00:00,2952.0,2952.25,106,27,ESM0
2020-05-22 20:06:00+00:00,2943.0,2943.5,1,1,ESU0
2020-05-22 20:06:00+00:00,2936.5,2938.75,3,2,ESZ0
2020-05-22 20:06:00+00:00,2895.25,2957.75,7,7,ESM1
2020-05-22 20:07:00+00:00,2937.0,2939.75,3,5,ESZ0
2020-05-22 20:07:00+00:00,2943.75,2944.25,1,1,ESU0
2020-05-22 20:07:00+00:00,2952.75,2953.0,96,41,ESM0
2020-05-22 20:08:00+00:00,2952.5,2952.75,70,53,ESM0
2020-05-22 20:08:00+00:00,2943.5,2944.0,1,2,ESU0
2020-05-22 20:08:00+00:00,2936.75,2939.25,3,2,ESZ0
2020-05-22 20:09:00+00:00,2937.0,2939.25,3,2,ESZ0
2020-05-22 20:09:00+00:00,2943.75,2944.25,1,1,ESU0
2020-05-22 20:09:00+00:00,2952.75,2953.0,92,35,ESM0
2020-05-22 20:10:00+00:00,2952.75,2953.0,109,38,ESM0
2020-05-22 20:10:00+00:00,2943.5,2944.25,2,1,ESU0
2020-05-22 20:10:00+00:00,2937.0,2939.25,3,2,ESZ0
2020-05-22 20:11:00+00:00,2935.75,2938.25,3,2,ESZ0
2020-05-22 20:11:00+00:00,2942.5,2943.0,2,1,ESU0
2020-05-22 20:11:00+00:00,2951.75,2952.0,22,96,ESM0
2020-05-22 20:11:00+00:00,2904.25,2947.75,7,9,ESH1
2020-05-22 20:12:00+00:00,2951.5,2951.75,100,28,ESM0
2020-05-22 20:12:00+00:00,2942.5,2943.0,1,2,ESU0
2020-05-22 20:12:00+00:00,2935.75,2938.25,3,2,ESZ0
2020-05-22 20:13:00+00:00,2936.5,2939.0,3,2,ESZ0
2020-05-22 20:13:00+00:00,2943.0,2943.75,2,1,ESU0
2020-05-22 20:13:00+00:00,2952.25,2952.5,69,35,ESM0
2020-05-22 20:14:00+00:00,2951.5,2951.75,56,50,ESM0
2020-05-22 20:14:00+00:00,2942.25,2943.0,1,3,ESU0
2020-05-22 20:14:00+00:00,2935.75,2938.0,3,2,ESZ0
2020-05-22 20:15:00+00:00,2921.5,2950.0,1,5,ESZ0
2020-05-22 20:15:00+00:00,2943.0,2944.25,1,1,ESU0
2020-05-22 20:15:00+00:00,2952.75,2953.0,4,46,ESM0
2020-05-22 20:15:00+00:00,2905.25,2947.75,7,2,ESH1
