member_id,is_banking,is_client,deficit,level,L1_own_df,L2_sitg,L3_pooled_df,L4_survivor_cash,L5_ccp_cash,mutualised,regime,seed,margin
104,False,False,1223643366.5912995,3,291287861.6539619,376847585.40000004,555507919.5373375,0.0,0.0,555507919.5373375,stressed,167,flat08
102,False,False,806778198.8781824,3,240720058.8557549,370385100.36,195673039.66242754,0.0,0.0,195673039.66242754,stressed,168,flat08
101,False,False,867774565.5361356,3,217482229.4968872,393989608.32000005,256302727.7192483,0.0,0.0,256302727.7192483,stressed,171,flat08
102,False,False,2112715637.5194097,3,573802688.2412783,303895388.28,1235017560.9981315,0.0,0.0,1235017560.9981315,stressed,173,flat08
103,False,False,1062677220.0910903,3,301627337.9501554,431725314.24000007,329324567.9009349,0.0,0.0,329324567.9009349,stressed,176,flat08
100,False,False,917062719.9126892,3,308327038.0038658,470479231.20000005,138256450.70882344,0.0,0.0,138256450.70882344,stressed,181,flat08
103,False,False,979593675.5573256,3,299563394.91538656,475238522.88000005,204791757.761939,0.0,0.0,204791757.761939,stressed,185,flat08
102,False,False,827357279.2375575,3,214439786.1566581,502197640.56000006,110719852.52089942,0.0,0.0,110719852.52089942,stressed,185,flat08
104,False,False,859902152.4011943,3,225543485.0096817,360245622.00000006,274113045.3915126,0.0,0.0,274113045.3915126,stressed,186,flat08
103,False,False,869267920.2058847,3,274645247.8242784,340658734.68,253963937.70160633,0.0,0.0,253963937.70160633,stressed,186,flat08
101,False,False,885539275.7840664,3,191750486.81155598,339405313.5,354383475.47251046,0.0,0.0,354383475.47251046,stressed,188,flat08
103,False,False,1887867249.4962947,3,407368281.9718473,351846385.44,1128652582.0844474,0.0,0.0,1128652582.0844474,stressed,44,flat12
103,False,False,723666404.4469773,3,170390018.2048611,328006765.68,225269620.5621162,0.0,0.0,225269620.5621162,stressed,45,flat12
104,False,False,2709134509.115919,3,662702648.8141447,322206647.4,1724225212.9017744,0.0,0.0,1724225212.9017744,stressed,45,flat12
103,False,False,2988118830.111535,3,1118177689.161602,412435974.06000006,1457505166.889933,0.0,0.0,1457505166.889933,stressed,46,flat12
100,False,False,1008612600.6294386,3,253511255.6012108,406492592.88000005,348608752.14822775,0.0,0.0,348608752.14822775,stressed,46,flat12
101,False,False,546684341.2298412,3,179580737.4264494,339988214.94,27115388.863391817,0.0,0.0,27115388.863391817,stressed,49,flat12
100,False,False,2398919014.7922506,3,685132311.4581633,327242572.8,1386544130.5340874,0.0,0.0,1386544130.5340874,stressed,52,flat12
102,False,False,786893033.9198956,3,222121092.52545422,315914207.4,248857733.9944414,0.0,0.0,248857733.9944414,stressed,53,flat12
103,False,False,2285904068.554037,3,795027519.905682,427429648.8,1063446899.848355,0.0,0.0,1063446899.848355,stressed,54,flat12
100,False,False,2337271504.3601456,3,677410814.0990652,443337061.86,1216523628.4010801,0.0,0.0,1216523628.4010801,stressed,56,flat12
102,False,False,730845960.8932321,3,243767064.46584207,297138229.74,189940666.68739003,0.0,0.0,189940666.68739003,stressed,57,flat12
100,False,False,831703436.4432027,3,221906790.1018805,362030648.76000005,247765997.58132213,0.0,0.0,247765997.58132213,stressed,58,flat12
101,False,False,758056839.1986961,3,294285474.6988855,369039245.52000004,94732118.9798106,0.0,0.0,94732118.9798106,stressed,60,flat12
104,False,False,2199728563.4825263,3,626741787.8957943,309459249.0,1263527526.586732,0.0,0.0,1263527526.586732,stressed,67,flat12
102,False,False,853600577.6633949,3,328231470.0469908,300356842.5,225012265.11640412,0.0,0.0,225012265.11640412,stressed,70,flat12
104,False,False,867250517.0909905,3,238864272.81348416,368365169.70000005,260021074.5775063,0.0,0.0,260021074.5775063,stressed,72,flat12
101,False,False,588163655.9644419,3,194017610.0301384,378562726.08000004,15583319.85430348,0.0,0.0,15583319.85430348,stressed,72,flat12
102,False,False,679933106.7172165,3,205511300.1585835,331486310.76,142935495.79863298,0.0,0.0,142935495.79863298,stressed,73,flat12
100,False,False,1758454695.2715847,3,800639771.3640177,321525184.86,636289739.047567,0.0,0.0,636289739.047567,stressed,73,flat12
101,False,False,768064596.0115014,3,216575145.20211482,332997466.56,218491984.2493866,0.0,0.0,218491984.2493866,stressed,76,flat12
102,False,False,1984970332.1170871,3,619519278.1970308,342912065.09999996,1022538988.8200564,0.0,0.0,1022538988.8200564,stressed,77,flat12
100,False,False,908050055.9032696,3,242837533.93076822,437304492.90000004,227908029.07250136,0.0,0.0,227908029.07250136,stressed,78,flat12
104,False,False,2137449827.3279586,3,517295992.8271097,350548247.28,1269605587.2208488,0.0,0.0,1269605587.2208488,stressed,79,flat12
