t,price,fundamental,momentum,excess_demand
6640,100.00000000004816,97.03965829139803,-4.250436273431693e-14,0.0
6641,100.00000000004717,97.094931141488,-1.3772990946729926e-13,-1e-08
6642,100.00000000004816,97.07086411362444,-2.4480935514155306e-14,1e-08
6643,100.00000000004816,97.01416428003031,-2.2032841962739775e-14,0.0
6644,100.00000000004816,96.90977271589807,-1.9829557766465797e-14,0.0
6645,100.00000000004816,96.85045706516426,-1.7846601989819217e-14,0.0
6646,100.00000000004816,96.85242207467792,-1.6061941790837296e-14,0.0
6647,100.00000000004916,96.77379346251267,8.502023539466046e-14,1e-08
6648,100.00000000004916,96.78339917642441,7.651821185519441e-14,0.0
6649,100.00000000004816,96.68685350863322,-3.0609592336739053e-14,-1e-08
6650,100.00000000004717,96.52075431973252,-1.2702461610947918e-13,-1e-08
6651,100.00000000004717,96.602694931819,-1.1432215449853125e-13,0.0
6652,100.00000000004816,96.55525347228242,-3.4139560422641025e-15,1e-08
6653,100.00000000005116,96.47155010696002,2.9677647405272463e-13,3.0000000000000004e-08
6654,100.00000000005116,96.36216539283028,2.670988266474522e-13,0.0
6655,100.00000000005016,96.40446899030331,1.4091296097629297e-13,-1e-08
6656,100.00000000005016,96.54195976145012,1.2682166487866368e-13,0.0
6657,100.00000000005116,96.50165237534951,2.1361548139721133e-13,1e-08
6658,100.00000000005016,96.48009603788324,9.277795025107619e-14,-1e-08
6659,100.00000000005016,96.58725922187215,8.350015522596858e-14,0.0
6660,100.00000000005116,96.40621465143631,1.7462612270978575e-13,1e-08
6661,100.00000000005215,96.60290151572758,2.566394934452212e-13,1e-08
6662,100.00000000005116,96.84731154596022,1.314995610942851e-13,-1e-08
6663,100.00000000004816,96.57667779301822,-1.814994295059057e-13,-3.0000000000000004e-08
6664,100.00000000004616,96.56692747012654,-3.637225380396634e-13,-2.0000000000000004e-08
6665,100.00000000004616,96.49503276693959,-3.273502842356971e-13,0.0
6666,100.00000000004616,96.46855558984912,-2.9461525581212737e-13,0.0
6667,100.00000000004715,96.42671708288752,-1.656777472245006e-13,1e-08
6668,100.00000000004715,96.50789299273546,-1.4910997250205053e-13,0.0
6669,100.00000000004715,96.49663600203867,-1.3419897525184549e-13,0.0
6670,100.00000000004715,96.40554528061867,-1.2077907772666095e-13,0.0
6671,100.00000000004715,96.38832676448915,-1.0870116995399485e-13,0.0
6672,100.00000000004715,96.43980518818539,-9.783105295859537e-14,0.0
6673,100.00000000004815,96.32143305540886,1.1428035343678186e-14,1e-08
6674,100.00000000004815,96.15680968651186,1.0285231809310368e-14,0.0
6675,100.00000000004815,96.35608396659539,9.256708628379332e-15,0.0
6676,100.00000000005015,96.29184129862455,2.0870408924988968e-13,2e-08
6677,100.00000000005015,96.27810599993259,1.8783368032490072e-13,0.0
6678,100.00000000005015,96.23832645935003,1.6905031229241066e-13,0.0
6679,100.00000000005015,96.29313522975825,1.521452810631696e-13,0.0
6680,100.00000000005015,96.47041422206735,1.3693075295685265e-13,0.0
6681,100.00000000004815,96.52840760624028,-7.713537382318088e-14,-2e-08
6682,100.00000000004914,96.37657109148628,3.005414656555123e-14,1e-08
6683,100.00000000004815,96.23815874878544,-7.242725109741792e-14,-1e-08
6684,100.00000000004914,96.19826227125274,3.42914570187379e-14,1e-08
6685,100.00000000005014,96.17143895129942,1.3033829432327815e-13,1e-08
6686,100.00000000005014,95.99924382434476,1.1730446489095033e-13,0.0
6687,100.00000000005014,96.08117791636221,1.055740184018553e-13,0.0
6688,100.00000000005014,95.97254586057406,9.501661656166977e-14,0.0
6689,100.00000000005014,96.12187601678663,8.55149549055028e-14,0.0
6690,100.00000000004914,96.30393927650721,-2.2512523591461505e-14,-1e-08
6691,100.00000000004914,96.27911392324398,-2.0261271232315354e-14,0.0
6692,100.00000000004914,96.3230111872858,-1.823514410908382e-14,0.0
6693,100.00000000004914,96.19981646507738,-1.6411629698175437e-14,0.0
6694,100.00000000004914,96.26218409772528,-1.4770466728357894e-14,0.0
6695,100.00000000004815,96.21236485538185,-1.1276940306193613e-13,-1e-08
6696,100.00000000004914,96.10364132322302,-2.0164797493284948e-15,1e-08
6697,100.00000000004815,96.07470782439772,-1.0129081478080967e-13,-1e-08
6698,100.00000000004815,96.02813302355719,-9.11617333027287e-14,0.0
6699,100.00000000004914,95.99561708325682,1.743042303395819e-14,1e-08
6700,100.00000000005114,96.09058507353845,2.1606043221491064e-13,2e-08
6701,100.00000000005114,96.01205431427488,1.9445438899341957e-13,0.0
6702,100.00000000004815,96.18555661425226,-1.248400843966847e-13,-3.0000000000000004e-08
6703,100.00000000004815,96.05305065096972,-1.1235607595701622e-13,0.0
6704,100.00000000005015,96.21459367828759,9.925258312303368e-14,2e-08
6705,100.00000000004916,96.11294261609692,-1.0148658195683714e-14,-1e-08
6706,100.00000000004916,96.11284129284326,-9.133792376115343e-15,0.0
6707,100.00000000004916,96.06382168149545,-8.220413138503809e-15,0.0
6708,100.00000000004916,96.02944881434166,-7.398371824653427e-15,0.0
6709,100.00000000005015,96.10958453797721,9.281744836422595e-14,1e-08
6710,100.00000000004916,96.2595672177001,-1.594027947861067e-14,-1e-08
6711,100.00000000004916,96.37861968819566,-1.4346251530749605e-14,0.0
6712,100.00000000004916,96.33813405496147,-1.2911626377674646e-14,0.0
6713,100.00000000004916,96.35655957720192,-1.1620463739907181e-14,0.0
6714,100.00000000004816,96.27835178983509,-1.0993440037233049e-13,-1e-08
6715,100.00000000004816,96.17919675857762,-9.894096033509744e-14,0.0
6716,100.00000000004816,96.06456666800474,-8.90468643015877e-14,0.0
6717,100.00000000004816,96.02080933730633,-8.014217787142894e-14,0.0
6718,100.00000000004816,96.04576990040782,-7.212796008428604e-14,0.0
6719,100.00000000004816,95.85458838443267,-6.491516407585745e-14,0.0
6720,100.00000000004717,95.8499530141746,-1.5789963067468574e-13,-1e-08
6721,100.00000000004717,96.00155552662956,-1.4210966760721717e-13,0.0
6722,100.00000000004617,96.11374663353698,-2.273746838529095e-13,-1e-08
6723,100.00000000004417,96.0552282258843,-4.050102669519668e-13,-2e-08
6724,100.00000000004417,95.91554093495603,-3.645092402567701e-13,0.0
6725,100.00000000004516,95.96152396560251,-2.285823332246791e-13,1e-08
6726,100.00000000004717,95.72978114058176,-5.351048417862914e-15,2e-08
6727,100.00000000004717,95.84079655217003,-4.8159435760766224e-15,0.0
6728,100.00000000004717,95.81943780638171,-4.334349218468961e-15,0.0
6729,100.00000000004717,96.00256783843946,-3.900914296622065e-15,0.0
6730,100.00000000004816,95.82987128988181,9.596516013945417e-14,1e-08
6731,100.00000000004616,95.9216859124026,-1.1400440735883954e-13,-2e-08
6732,100.00000000004516,95.91163502872118,-2.0207994962936962e-13,-1e-08
6733,100.00000000004616,95.87852997557397,-8.239597166001865e-14,1e-08
6734,100.00000000004516,95.74154562905275,-1.736323575004308e-13,-1e-08
6735,100.00000000004717,95.80112041972393,4.4103929733960555e-14,2e-08
6736,100.00000000004717,95.86873415820162,3.96935367605645e-14,0.0
6737,100.00000000004717,96.0472469383982,3.572418308450805e-14,0.0
6738,100.00000000004717,96.14805196468426,3.215176477605725e-14,0.0
6739,100.00000000004717,96.08866243178868,2.893658829845152e-14,0.0
6740,100.00000000004816,95.98827617342693,1.255189124750204e-13,1e-08
6741,100.00000000004717,95.85142703007469,1.3491038221104336e-14,-1e-08
6742,100.00000000004717,95.99874946463864,1.2141934398993902e-14,0.0
6743,100.00000000004617,95.92093203621084,-8.854824204731951e-14,-1e-08
6744,100.00000000004617,96.06895502310797,-7.969341784258757e-14,0.0
6745,100.00000000004617,96.12146222719419,-7.172407605832881e-14,0.0
6746,100.00000000004617,96.15445251535358,-6.455166845249593e-14,0.0
6747,100.00000000004717,96.12376568409755,4.137948139916769e-14,1e-08
6748,100.00000000004717,96.18983297539778,3.724153325925092e-14,0.0
6749,100.00000000004717,96.18828589911409,3.3517379933325833e-14,0.0
6750,100.00000000004717,96.15136456996721,3.016564193999325e-14,0.0
6751,100.00000000004717,96.22096504863204,2.7149077745993928e-14,0.0
6752,100.00000000004717,96.20656783770993,2.4434169971394534e-14,0.0
6753,100.00000000004617,96.12673435983605,-7.748523003215894e-14,-1e-08
6754,100.00000000004717,96.18671703738211,2.973927597747098e-14,1e-08
