t,log_price_med,log_price_p25,log_price_p75,log_fund_med,mispricing_med,mispricing_p25,mispricing_p75,log_ret_med,log_ret_std
87,1.6928940396107022,1.6750290874885834,1.7100733166847564,1.6932554383363085,0.0024570881472277817,-0.016649326364053252,0.009830867570184476,-0.001971985029251333,0.006650101556569715
88,1.6952046496330984,1.6755637978729672,1.7094906930768201,1.692412923185792,-0.0008611734878987143,-0.01444173318040931,0.0190713112325801,0.0003083938787230567,0.0071062680664384665
89,1.6976867946932446,1.6705357094995565,1.7106430948924196,1.6947246882402478,0.003352096269420568,-0.014858237276793418,0.0142897984893951,-0.0011352713388655955,0.0063230124324710766
90,1.695346951429983,1.6734877467498235,1.7089489802566562,1.695650034360556,0.004312986870052882,-0.018077341809392633,0.011891146250896822,-0.00021551079789505767,0.007696353614958341
91,1.697149228218608,1.6772636335747928,1.7091521886477583,1.6973593179706636,0.0011083342232898197,-0.016945501090764536,0.012640206366585915,0.001016094772878895,0.007275670505474242
92,1.6979162396097118,1.6780553033591006,1.7124673441532174,1.698134540157316,0.0010503924867087955,-0.010444066537798558,0.013902072388678965,0.0029396840571092042,0.007928299796397828
93,1.7010279182275392,1.6731386843995812,1.712667351829353,1.6968638342704665,0.003377355859335407,-0.012123550574528352,0.013153748390639985,0.0007887893039130178,0.008016995049852373
94,1.6976881299817035,1.674537118337541,1.707817723834582,1.6971822484251011,-0.002243137205024892,-0.018055583136948883,0.01088688468053206,-0.0007448597049212191,0.007775087279630766
95,1.6971353025557772,1.6768333320992594,1.7119623651535587,1.6969957590650333,-0.004498348297618082,-0.014707529324201163,0.014821561314269982,0.0020023679403241568,0.008014483571972798
96,1.695710439493877,1.6824739864406848,1.7134607880044672,1.6947791297511967,-0.006546954281121398,-0.013064984824172343,0.012345385679642384,0.0014403921966256172,0.008066984978083162
97,1.696895117599579,1.6827982636338406,1.7112646183852012,1.6948184262266943,-0.005192110447398091,-0.012934508183113702,0.014401712829446633,0.0015190596351153385,0.006825751866788001
98,1.6985107317809813,1.6860537291430788,1.7136407872602117,1.6973575032317596,-0.00048338109562040543,-0.01466064234516068,0.010386884835459576,0.0023426044344289076,0.007830195336584063
99,1.6987998073537893,1.6865436426141243,1.7107530147756758,1.6976242096197294,-0.0010935772294867752,-0.014040574978729181,0.013771273438914433,-0.0002581990158855296,0.006337733274053668
100,1.696975051593737,1.6873952511786354,1.7131684316031808,1.6974106630880954,0.003126918309750204,-0.012928034236536434,0.010691642237765198,0.0007278928346547975,0.007466398760817781
101,1.6984575003839226,1.6836984338369498,1.7104450808569478,1.6974030238007063,-0.00010173933918555811,-0.015787404144779804,0.01122232897044484,-0.0017015559448760875,0.006555416133064753
102,1.6972418788062142,1.6858744478501175,1.7114099653490904,1.6990994406929247,0.00035882025192812694,-0.012851422292227854,0.013060704128209089,0.0005372842418787105,0.007929980201581527
103,1.7001549692376123,1.6838216047052408,1.7100325169647372,1.6987417232930921,-0.001074626688663538,-0.013450762364957292,0.012624770577501832,0.0020493008480463315,0.006946408549639562
104,1.6994480103448102,1.6817239516434017,1.714188790662408,1.699468988768633,-0.0047273586102551945,-0.014569589891731682,0.01028231439380467,-0.0008120573614013304,0.007325376466012981
105,1.7019433610826151,1.6845485506432616,1.7157482705611349,1.7009805175712698,0.0021403352851727675,-0.01326984622052424,0.009641056270345005,0.002904548741609947,0.006450574401361007
106,1.703156093952423,1.6826405961633177,1.7168566133725693,1.7021385379624816,-0.0009279554927691391,-0.015781084753140107,0.012338616075845132,0.000519115366301226,0.005986106977483229
107,1.7034372750042366,1.6859083398722194,1.7172790339726938,1.7036788571303454,-0.001659510025640576,-0.010593563975848874,0.010967917019611473,0.0018445843346718283,0.006806714000914184
108,1.7018477093550715,1.6834376676095433,1.7157971553893159,1.7035068393740316,-0.0032605392041532566,-0.012528526077399849,0.00696451593567643,-0.0019749847119535646,0.006499071036652265
109,1.703965585970614,1.6842509346043015,1.718072714015699,1.7039787747774944,-0.002006919357858572,-0.011836079738105354,0.007813579439579443,7.638120038278018e-05,0.006254458335657947
110,1.7005474773544504,1.683250601115153,1.719729206261295,1.7025115776973412,-0.004989233450926611,-0.014638692375834539,0.005353664499580135,-0.0004930878049820286,0.006421823548618715
111,1.7024614467479307,1.6875213229304078,1.7168877122313444,1.7042918950123385,-0.0042776498037601085,-0.010374859055277852,0.0061478728514633985,0.001068091307006247,0.006440458344039511
112,1.7000646561060622,1.6870566528760413,1.7197056055832567,1.7043032659204904,-0.0038455418270066932,-0.012693145923838023,0.008608482902337955,0.000992316159199813,0.008197896786607978
113,1.699847520791593,1.686565459161643,1.7164541895860648,1.7037799469839316,-0.005161911192800073,-0.014399756215414672,0.004019008417632586,-0.00016993314943758442,0.006779978688956722
114,1.7009785036305871,1.6825551334357158,1.7168562870064348,1.703397746386862,-0.0047315393784179705,-0.01561790695280274,0.004629863422241531,0.0007639611996114182,0.007458069888145227
115,1.6995651420925408,1.684667619329591,1.7143320686974468,1.7051101385192458,-0.006924643123585539,-0.017737191498121918,0.003725415220578121,0.0005841767971463963,0.006608098651499487
116,1.7001357608595522,1.6867225360044729,1.7188320551315603,1.7085082196804726,-0.004498733422794943,-0.020442908021924222,0.004229016120314566,0.00010335473507572246,0.007818765008335199
117,1.7022853901928838,1.6884271768941734,1.7169569305800552,1.7083002028266476,-0.005011052443287922,-0.018509359751674448,0.004761805273966191,0.0019476200950394595,0.0065720450973304635
118,1.706282585480487,1.6847540201758657,1.7193754036399373,1.7059814745119088,-0.007559229823550395,-0.016954313704522994,0.007437868252877067,0.0008623517198673714,0.006455738141276486
119,1.7032411114117907,1.6891416386592244,1.7213751921020617,1.7068984566510352,-0.008560264958362707,-0.018414429320205206,0.010668212785398368,0.001445541896666569,0.007662057751910941
120,1.7022738407296296,1.692455479502767,1.7207888062165049,1.7089568930452765,-0.007615067579223478,-0.019370579363004403,0.013545617732694581,0.0009974004383976887,0.006737067772540127
121,1.7046312933946228,1.6874584813696092,1.7209897771479157,1.7089006598296395,-0.006579367692242988,-0.019197815340526003,0.012797826365076592,0.0006786147001880405,0.00831937451365934
122,1.7049224767165965,1.6905950607557143,1.7256669381224143,1.7098422352150386,-0.003029023245451179,-0.01768516081960847,0.008329291953587115,0.0013398836889052523,0.00767432128043255
123,1.7109387178750879,1.6900958367936663,1.7240769700833414,1.7108841569081519,-0.0012849145733194733,-0.013207579773445222,0.008197015028476806,0.0007329360402222873,0.007710384239084734
124,1.7128196939239984,1.692083875592508,1.7293945296807007,1.712387716077123,-0.0040082050680873005,-0.013504455532798276,0.012037551424769921,0.0017906907819416062,0.007686860122055423
