regime,seed,agent_id,n_clients,min_kappa,breached
calm,65,39,0,0.17906807642608735,0
calm,66,30,11,0.10040690859334396,0
calm,66,31,15,0.07826101268391002,1
calm,66,32,12,0.07801575165497766,1
calm,66,33,18,0.08087723766152366,0
calm,66,34,15,0.09617623602035932,0
calm,66,35,0,0.17347144835548928,0
calm,66,36,0,0.18735685915968048,0
calm,66,37,0,0.1716747953849981,0
calm,66,38,0,0.18745089378624724,0
calm,66,39,0,0.17368736851946137,0
calm,67,30,16,0.10734442675563528,0
calm,67,31,11,0.09472352568065243,0
calm,67,32,9,0.0986000119064456,0
calm,67,33,16,0.09972457869496526,0
calm,67,34,16,0.0886792636945512,0
calm,67,35,0,0.17789886739724134,0
calm,67,36,0,0.18959897132892412,0
calm,67,37,0,0.17906255048434896,0
calm,67,38,0,0.17841590594186882,0
calm,67,39,0,0.1874904122762411,0
calm,68,30,12,0.0764715663032012,1
calm,68,31,14,0.08577550612842035,0
calm,68,32,15,0.0868787720555055,0
calm,68,33,14,0.09614678364633768,0
calm,68,34,15,0.07775517056394,1
calm,68,35,0,0.18633029811228025,0
calm,68,36,0,0.17684997977005712,0
calm,68,37,0,0.19975755198568654,0
calm,68,38,0,0.15226621250429845,0
calm,68,39,0,0.18531944916994741,0
calm,69,30,11,0.0770358979590938,1
calm,69,31,16,0.07652679775105295,1
calm,69,32,12,0.07870042089676357,1
calm,69,33,16,0.07991662640727536,1
calm,69,34,11,0.08167806564622798,0
calm,69,35,0,0.18760695973763433,0
calm,69,36,0,0.13870156183284793,0
calm,69,37,0,0.17696097224166446,0
calm,69,38,0,0.17854332252586783,0
calm,69,39,0,0.1861478409324077,0
calm,70,30,12,0.10029204297478327,0
calm,70,31,15,0.07906855630666079,1
calm,70,32,16,0.09010400442637963,0
calm,70,33,14,0.08597272613719144,0
calm,70,34,15,0.08219301811995151,0
calm,70,35,0,0.16943155321050538,0
calm,70,36,0,0.17740408536712984,0
calm,70,37,0,0.17387953463622502,0
calm,70,38,0,0.17432005458604216,0
calm,70,39,0,0.1909461895715185,0
calm,71,30,14,0.09672333447620221,0
calm,71,31,14,0.10018432518345667,0
calm,71,32,12,0.0822544468476401,0
calm,71,33,14,0.0979923871725385,0
calm,71,34,16,0.09228073481868564,0
calm,71,35,0,0.17725483397730138,0
calm,71,36,0,0.17752367807798994,0
calm,71,37,0,0.18772145790961872,0
calm,71,38,0,0.18109864379792284,0
calm,71,39,0,0.1752639352846637,0
calm,72,30,14,0.07867095091315857,1
calm,72,31,16,0.07833799192882841,1
calm,72,32,10,0.07948686021855193,1
calm,72,33,13,0.0795800786574231,1
calm,72,34,19,0.08736703911210153,0
calm,72,35,0,0.18690557441395544,0
calm,72,36,0,0.17796695021226652,0
calm,72,37,0,0.18311580567852168,0
calm,72,38,0,0.18146619210503998,0
calm,72,39,0,0.187218888867872,0
calm,73,30,15,0.10013357168540395,0
calm,73,31,18,0.09931801595027998,0
calm,73,32,12,0.10406030956441206,0
calm,73,33,12,0.07910601533220997,1
calm,73,34,16,0.09372296134082789,0
calm,73,35,0,0.1719096432618779,0
calm,73,36,0,0.1942405417041676,0
calm,73,37,0,0.18545188904804535,0
calm,73,38,0,0.18084451263017598,0
calm,73,39,0,0.1840241196749727,0
calm,74,30,11,0.07782331015753904,1
calm,74,31,11,0.07883967163715899,1
calm,74,32,16,0.07818459674442016,1
calm,74,33,14,0.0797146682554732,1
calm,74,34,18,0.0793302243723632,1
calm,74,35,0,0.19066124561151337,0
calm,74,36,0,0.18732518451788513,0
calm,74,37,0,0.18742741724771997,0
calm,74,38,0,0.172915431104411,0
calm,74,39,0,0.19059595783455963,0
calm,75,30,12,0.07784800402135574,1
calm,75,31,16,0.08108562336781888,0
calm,75,32,12,0.08598061643764633,0
calm,75,33,16,0.08175340561803386,0
calm,75,34,9,0.07790210210521553,1
calm,75,35,0,0.1755130748951228,0
calm,75,36,0,0.17437349906553049,0
calm,75,37,0,0.18329618815221344,0
calm,75,38,0,0.17416692149785623,0
calm,75,39,0,0.19380552583619534,0
calm,76,30,12,0.07968168983124681,1
calm,76,31,13,0.07727758475680457,1
calm,76,32,20,0.08127910232746836,0
calm,76,33,16,0.0783092372190355,1
calm,76,34,13,0.0782523589883637,1
calm,76,35,0,0.2039741848493163,0
calm,76,36,0,0.17577011692120992,0
calm,76,37,0,0.18325925529044385,0
calm,76,38,0,0.17932219690511392,0
calm,76,39,0,0.18290338803955267,0
calm,77,30,15,0.11328787873413552,0
calm,77,31,14,0.10788680430828963,0
calm,77,32,11,0.09710864998567745,0
calm,77,33,15,0.12050286329084486,0
calm,77,34,14,0.11916892831776538,0
calm,77,35,0,0.3346665755356287,0
calm,77,36,0,0.1940745938753711,0
calm,77,37,0,0.6069202570877652,0
calm,77,38,0,0.17505487134047468,0
calm,77,39,0,0.2911188573277514,0
calm,78,30,16,0.07819357144069335,1
calm,78,31,17,0.07941470725400879,1
calm,78,32,11,0.07814490906704459,1
calm,78,33,15,0.07953371125080703,1
calm,78,34,11,0.07878915025916115,1
calm,78,35,0,0.20357564862674726,0
calm,78,36,0,0.2216046597155244,0
calm,78,37,0,0.3591185188458109,0
calm,78,38,0,0.18778072917178096,0
calm,78,39,0,0.18735259595519058,0
calm,79,30,13,0.07850888061530696,1
