regime,t,mtype,metric,p50,p25,p75
stressed,21719,BCMo,df_contribution,96427350.44566041,68992721.13110334,194088012.35592318
stressed,21719,BCMo,maintenance_margin,834606297.8547797,585343279.5443277,1892719728.2693396
stressed,21719,NBCM,cash,1783393283.68194,1246176559.0680552,2305287824.5962195
stressed,21719,NBCM,df_contribution,56463611.58325911,33573966.62255919,109916155.13780554
stressed,21719,NBCM,maintenance_margin,545191114.6023803,312434033.4545287,989575442.1804135
stressed,21779,BCMc,cash,5374858003.91087,4243413769.5190406,7511127844.215309
stressed,21779,BCMc,df_contribution,346740081.80992097,271779741.1766888,453814648.7888003
stressed,21779,BCMc,maintenance_margin,3374045021.755842,2590553075.7619705,4104068470.1125803
stressed,21779,BCMo,cash,2602217472.987606,1788866069.5447145,9014478408.630646
stressed,21779,BCMo,df_contribution,96427350.44566041,68992721.13110334,194088012.35592318
stressed,21779,BCMo,maintenance_margin,837949389.1058501,586726241.6758428,1900387551.1745095
stressed,21779,NBCM,cash,1782726009.3022685,1246468540.92098,2305287824.5962195
stressed,21779,NBCM,df_contribution,56463611.58325911,33573966.62255919,109916155.13780554
stressed,21779,NBCM,maintenance_margin,550599632.0163052,320549203.87989086,1015541115.7722987
stressed,21839,BCMc,cash,5390813514.223118,4265762673.8607273,7520698942.099594
stressed,21839,BCMc,df_contribution,346740081.80992097,271779741.1766888,453814648.7888003
stressed,21839,BCMc,maintenance_margin,3361471858.8321295,2568174688.045917,4116131241.3153276
stressed,21839,BCMo,cash,2622420802.858119,1809670116.0784695,9001921424.238316
stressed,21839,BCMo,df_contribution,96427350.44566041,68992721.13110334,194088012.35592318
stressed,21839,BCMo,maintenance_margin,854004052.2285287,594671971.4316092,1898525061.5122213
stressed,21839,NBCM,cash,1782515607.4708405,1246468540.92098,2305287824.5962195
stressed,21839,NBCM,df_contribution,56463611.58325911,33573966.62255919,109916155.13780554
stressed,21839,NBCM,maintenance_margin,535741485.9074383,318238846.6516862,1016776472.1741524
stressed,21899,BCMc,cash,5467958379.460794,4338731905.070944,7593818290.315427
stressed,21899,BCMc,df_contribution,360808556.5394155,286787676.5675982,467970544.6809001
stressed,21899,BCMc,maintenance_margin,3383829664.1199055,2616917151.0089765,4130740913.745018
stressed,21899,BCMo,cash,2834650496.9575405,1958510252.0478797,9012339012.623844
stressed,21899,BCMo,df_contribution,96033447.27441838,69187329.86306679,204138074.79309902
stressed,21899,BCMo,maintenance_margin,850699717.3505918,591258728.8694775,1916319327.3892014
stressed,21899,NBCM,cash,1783815282.9565425,1242654919.8259807,2303661727.4617877
stressed,21899,NBCM,df_contribution,59861584.64077239,35605797.55236961,115536130.004769
stressed,21899,NBCM,maintenance_margin,555995230.8682436,322422158.7831557,1026171754.1914423
stressed,21959,BCMc,cash,5495479172.01984,4398985623.416343,7623933119.756183
stressed,21959,BCMc,df_contribution,360808556.5394155,286787676.5675982,467970544.6809001
