t,agent_id,mtype,capital_ratio,regime
16799,38,BCMo,0.19657972993867492,stressed
16799,39,BCMo,0.2023053866858084,stressed
16799,100,NBCM,0.2846082824935688,stressed
16799,101,NBCM,0.478736849995288,stressed
16799,102,NBCM,0.07623328207125787,stressed
16799,103,NBCM,0.07613615883361245,stressed
16799,104,NBCM,0.32430249544770917,stressed
16859,30,BCMc,0.10841445774197053,stressed
16859,31,BCMc,0.08364108471864254,stressed
16859,32,BCMc,0.0954864968126445,stressed
16859,33,BCMc,0.11474209526494655,stressed
16859,34,BCMc,0.09401063745147928,stressed
16859,35,BCMo,0.20238167660354411,stressed
16859,36,BCMo,0.2032681286864479,stressed
16859,37,BCMo,0.20159849472986152,stressed
16859,38,BCMo,0.20377276050816892,stressed
16859,39,BCMo,0.20104734048507356,stressed
16859,100,NBCM,0.2786842978404733,stressed
16859,101,NBCM,0.46280102946102697,stressed
16859,102,NBCM,0.07588030278407483,stressed
16859,103,NBCM,0.07592690874625717,stressed
16859,104,NBCM,0.3066903265856648,stressed
16919,30,BCMc,0.10909324364134493,stressed
16919,31,BCMc,0.08399717535721424,stressed
16919,32,BCMc,0.09534296709483796,stressed
16919,33,BCMc,0.11491682949692371,stressed
16919,34,BCMc,0.09339018008149089,stressed
16919,35,BCMo,0.1993400713917657,stressed
16919,36,BCMo,0.19852857353112932,stressed
16919,37,BCMo,0.1992682177419778,stressed
16919,38,BCMo,0.19829752510786014,stressed
16919,39,BCMo,0.19988648535218576,stressed
16919,100,NBCM,0.28569655649777703,stressed
16919,101,NBCM,0.4387508221913824,stressed
16919,102,NBCM,0.07589184510844163,stressed
16919,103,NBCM,0.07593375116582607,stressed
16919,104,NBCM,0.3065173646900892,stressed
16979,30,BCMc,0.10946377472010439,stressed
16979,31,BCMc,0.08484781957557054,stressed
16979,32,BCMc,0.09609196394161186,stressed
16979,33,BCMc,0.11623181066152939,stressed
16979,34,BCMc,0.09086305768876717,stressed
16979,35,BCMo,0.19534698310183093,stressed
16979,36,BCMo,0.20565968454980488,stressed
16979,37,BCMo,0.20537067603041578,stressed
16979,38,BCMo,0.20576697881957745,stressed
16979,39,BCMo,0.20496311536528722,stressed
16979,100,NBCM,0.3001741338582128,stressed
16979,101,NBCM,0.44144765658949203,stressed
16979,102,NBCM,0.07526009135725727,stressed
16979,103,NBCM,0.07555924044402895,stressed
16979,104,NBCM,0.3084348947591331,stressed
17039,30,BCMc,0.11269150075924156,stressed
17039,31,BCMc,0.08639625898878882,stressed
17039,32,BCMc,0.09698537802252055,stressed
17039,33,BCMc,0.11634785572385589,stressed
17039,34,BCMc,0.09350715125695794,stressed
17039,35,BCMo,0.1739000961925983,stressed
17039,36,BCMo,0.21173369582006354,stressed
17039,37,BCMo,0.21212123152710408,stressed
17039,38,BCMo,0.211498990898186,stressed
17039,39,BCMo,0.21524338675251575,stressed
17039,100,NBCM,0.2879233558162959,stressed
17039,101,NBCM,0.4320381063802113,stressed
17039,102,NBCM,0.07307941205116984,stressed
17039,103,NBCM,0.07432291345255261,stressed
17039,104,NBCM,0.3009992907636521,stressed
17099,30,BCMc,0.11392497509805512,stressed
17099,31,BCMc,0.08703959366423011,stressed
17099,32,BCMc,0.094920000661609,stressed
17099,33,BCMc,0.11753957413874702,stressed
17099,34,BCMc,0.09750754991674047,stressed
17099,35,BCMo,0.17783173763090815,stressed
17099,36,BCMo,0.19227915551768365,stressed
17099,37,BCMo,0.19204340192126765,stressed
17099,38,BCMo,0.19969695298440635,stressed
17099,39,BCMo,0.22243601277668545,stressed
17099,100,NBCM,0.2785056688939675,stressed
17099,101,NBCM,0.4171261133388094,stressed
17099,102,NBCM,0.07338426864175335,stressed
17099,103,NBCM,0.07450363586467916,stressed
17099,104,NBCM,0.3204448379546218,stressed
17159,30,BCMc,0.11515908033089775,stressed
17159,31,BCMc,0.08690156245470912,stressed
17159,32,BCMc,0.09626436298131547,stressed
17159,33,BCMc,0.11870407128244755,stressed
17159,34,BCMc,0.09840276118333388,stressed
17159,35,BCMo,0.1786735388975721,stressed
17159,36,BCMo,0.20530274749438915,stressed
17159,37,BCMo,0.20128035677186165,stressed
17159,38,BCMo,0.20196916115782199,stressed
17159,39,BCMo,0.2164131963182095,stressed
