regime,t,p50,p25,p75,im_frac
calm,17639,20243950861.5,19302002716.5,21441210016.5,0.04
calm,17699,20357086932.0,19404394830.0,21647007092.25,0.04
calm,17759,20255514205.5,19259751426.75,21500632149.75,0.04
calm,17819,20522759535.0,19327239967.5,21733384608.0,0.04
calm,17879,20495048823.0,19359444042.0,21696162705.0,0.04
calm,17939,20458984639.5,19339393342.5,21694242973.5,0.04
calm,17999,20423947338.0,19476976695.75,21651149108.25,0.04
calm,18059,20324792862.0,19328243267.25,21513210597.0,0.04
calm,18119,20434549495.5,19346225442.75,21675939113.25,0.04
calm,18179,20416978854.0,19374638521.5,21597037956.0,0.04
calm,18239,20537898376.5,19462463651.25,21736426423.5,0.04
calm,18299,20696268712.5,19676862432.0,21795585957.0,0.04
calm,18359,20582133025.5,19558410576.75,21638409504.75,0.04
calm,18419,20674635786.0,19672930804.5,21713178465.0,0.04
calm,18479,20397737119.5,19465122406.5,21553595064.0,0.04
calm,18539,20301349909.5,19436312486.25,21430453756.5,0.04
calm,18599,20346027547.5,19479447036.0,21495863821.5,0.04
calm,18659,20537893606.5,19657214228.25,21705182743.5,0.04
calm,18719,20309728207.5,19452304732.5,21514996617.75,0.04
calm,18779,20457810846.0,19582171294.5,21657917841.75,0.04
calm,18839,20413597153.5,19569625474.5,21600428672.25,0.04
calm,18899,20365713112.5,19438248060.0,21531759520.5,0.04
calm,18959,20479401994.5,19487655337.5,21839613156.0,0.04
calm,19019,20515802238.0,19448292210.75,21584556758.25,0.04
calm,19079,20466029466.0,19314136764.0,21391200265.5,0.04
calm,19139,20223588501.0,18997105983.75,21094843275.0,0.04
calm,19199,20327771974.5,19117346699.25,21224263059.0,0.04
calm,19259,20493030685.5,19420229344.5,21546123158.25,0.04
calm,19319,20348630248.5,19250630734.5,21249942752.25,0.04
calm,19379,20354809239.0,19238792933.25,21374840214.0,0.04
calm,19439,20278979977.5,19165953678.75,21299889255.75,0.04
calm,19499,20391819034.5,19188133652.25,21314949610.5,0.04
calm,19559,20284043242.5,19194059376.0,21403506474.0,0.04
calm,19619,20249120299.5,19220846145.75,21379999027.5,0.04
calm,19679,20243192827.5,19142368006.5,21210871356.0,0.04
calm,19739,20034440883.0,18860739927.75,20995881644.25,0.04
calm,19799,20166892456.5,19124653144.5,21303412512.75,0.04
calm,19859,20227434912.0,19261756140.75,21470002641.0,0.04
calm,19919,20260065856.5,19311886478.25,21438728925.75,0.04
calm,19979,20142650119.5,19185923416.5,21280297945.5,0.04
calm,20039,20190894165.0,19309896618.75,21361818258.0,0.04
calm,20099,20308668975.0,19396784421.0,21485532390.75,0.04
calm,20159,20271682728.0,19387095018.75,21409146576.0,0.04
calm,20219,20310547932.0,19384681691.25,21504671707.5,0.04
calm,20279,20254303881.0,19256253520.5,21434334027.75,0.04
calm,20339,20234283079.5,19196552173.5,21316511292.75,0.04
calm,20399,20225201805.0,19176311911.5,21244486083.75,0.04
calm,20459,20234050942.5,19299035398.5,21384035073.0,0.04
calm,20519,20264753745.0,19385180934.75,21483118316.25,0.04
calm,20579,20321866926.0,19391413344.75,21534136141.5,0.04
calm,20639,20234190901.5,19347459804.0,21531859976.25,0.04
calm,20699,20336292994.5,19432867920.75,21684073677.75,0.04
