path,t,client_id,kind,cm_id,cm_kind,shortfall,closeout_loss,im_posted,assumed_pos
36,12899,92,ZeroIntelligenceTrader,32,BCM,0.0,0.0,75718169.12908736,-171
36,12899,48,MomentumTrader,32,BCM,0.0,0.0,374441904.87124014,-1049
36,12899,61,ZeroIntelligenceTrader,32,BCM,0.0,0.0,74680933.9355382,-184
36,12899,71,ZeroIntelligenceTrader,32,BCM,0.0,0.0,34228761.387121685,-81
36,12899,86,ZeroIntelligenceTrader,33,BCM,0.0,0.0,57393680.70971918,-166
36,12899,76,ZeroIntelligenceTrader,34,BCM,0.0,0.0,56956866.239101835,-136
36,12899,75,ZeroIntelligenceTrader,34,BCM,0.0,0.0,42180897.870998435,-85
36,12899,85,ZeroIntelligenceTrader,34,BCM,0.0,0.0,63962836.93553042,-182
36,12899,52,MomentumTrader,34,BCM,0.0,0.0,317048224.16152096,-867
36,12899,41,MomentumTrader,100,NBCM,0.0,0.0,420041156.3900958,-1012
36,12899,88,ZeroIntelligenceTrader,100,NBCM,0.0,0.0,49095799.16132605,-111
36,12899,90,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,76755404.3226365,-161
36,12899,66,ZeroIntelligenceTrader,102,NBCM,0.0,0.0,31117055.80647425,-57
36,12899,89,ZeroIntelligenceTrader,103,NBCM,0.0,0.0,58430915.90326833,-133
36,12959,63,ZeroIntelligenceTrader,31,BCM,0.0,0.0,203786247.93504065,-450
36,12959,42,MomentumTrader,32,BCM,0.0,0.0,398588328.1574154,-944
36,12959,97,ZeroIntelligenceTrader,32,BCM,0.0,0.0,85696738.72592628,-199
36,12959,60,ZeroIntelligenceTrader,32,BCM,0.0,0.0,150949275.16417888,-360
36,12959,73,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,34370518.85707167,-78
36,12959,79,ZeroIntelligenceTrader,102,NBCM,0.0,0.0,65246802.63013033,-149
36,13259,91,ZeroIntelligenceTrader,31,BCM,0.0,0.0,119633822.42673996,-255
36,13259,80,ZeroIntelligenceTrader,104,NBCM,0.0,0.0,28149134.688644696,-60
36,13499,40,MomentumTrader,33,BCM,0.0,0.0,569708939.110887,-1090
36,13499,46,MomentumTrader,34,BCM,0.0,0.0,414476319.9219574,-793
36,13499,45,MomentumTrader,102,NBCM,0.0,0.0,405068282.3953555,-775
36,13499,44,MomentumTrader,103,NBCM,0.0,0.0,386774876.0936298,-740
36,13559,57,MomentumTrader,30,BCM,0.0,0.0,367100851.05836344,-582
36,13559,49,MomentumTrader,30,BCM,0.0,0.0,343669102.26137334,-559
36,13559,4,FundamentalTrader,31,BCM,0.0,0.0,2436825252.604107,-4369
36,13559,54,MomentumTrader,31,BCM,0.0,0.0,372559032.05307525,-586
36,13559,50,MomentumTrader,33,BCM,0.0,0.0,432088822.7460956,-777
36,13559,51,MomentumTrader,34,BCM,0.0,0.0,340332509.0355348,-566
36,13559,47,MomentumTrader,100,NBCM,0.0,0.0,427640031.77831084,-769
36,13559,53,MomentumTrader,101,NBCM,0.0,0.0,426545672.19645965,-643
36,13619,59,MomentumTrader,30,BCM,0.0,0.0,350966492.85150594,-527
36,13619,96,ZeroIntelligenceTrader,30,BCM,0.0,0.0,105223350.7979847,-158
36,13619,72,ZeroIntelligenceTrader,30,BCM,0.0,0.0,77252586.66181156,-116
36,13619,58,MomentumTrader,31,BCM,0.0,0.0,325659611.014016,-489
36,13619,25,FundamentalTrader,32,BCM,0.0,0.0,3275243286.2309422,-4918
36,13619,55,MomentumTrader,32,BCM,0.0,0.0,328971943.68876976,-493
36,13619,82,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,257730612.39759547,-387
36,13619,62,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,53385773.6154925,-80
36,13679,43,MomentumTrader,32,BCM,0.0,0.0,272444942.8202669,-398
36,13679,93,ZeroIntelligenceTrader,100,NBCM,0.0,0.0,73245248.44665466,-107
36,13859,99,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,74281769.33519928,-108
37,11159,19,FundamentalTrader,34,BCM,0.0,0.0,261421485.8325693,999
37,15239,83,ZeroIntelligenceTrader,33,BCM,0.0,0.0,58919435.261046946,-192
37,15539,68,ZeroIntelligenceTrader,33,BCM,0.0,0.0,34775827.44699818,-95
38,6959,13,FundamentalTrader,30,BCM,0.0,0.0,1252863224.3584146,-1518
38,6959,57,MomentumTrader,30,BCM,0.0,0.0,252871476.4760103,-229
38,6959,59,MomentumTrader,30,BCM,0.0,0.0,186369562.2079686,-174
38,6959,49,MomentumTrader,30,BCM,0.0,0.0,137929896.25964195,-161
38,6959,67,ZeroIntelligenceTrader,30,BCM,0.0,0.0,158455178.44113633,-202
38,6959,72,ZeroIntelligenceTrader,30,BCM,0.0,0.0,121632931.84802234,-140
38,6959,77,ZeroIntelligenceTrader,30,BCM,0.0,0.0,126435738.23800515,-118
38,6959,6,FundamentalTrader,31,BCM,0.0,0.0,1408855368.9377716,-1696
38,6959,4,FundamentalTrader,31,BCM,0.0,0.0,761898474.5770699,-924
38,6959,63,ZeroIntelligenceTrader,31,BCM,0.0,0.0,138421847.93504095,-169
38,6959,69,ZeroIntelligenceTrader,31,BCM,0.0,0.0,92774275.46035442,-156
38,6959,25,FundamentalTrader,32,BCM,0.0,0.0,1073882763.7357838,-1298
38,6959,22,FundamentalTrader,32,BCM,0.0,0.0,959762194.8066753,-1149
38,6959,55,MomentumTrader,32,BCM,0.0,0.0,233167205.5817757,-197
38,6959,98,ZeroIntelligenceTrader,32,BCM,0.0,0.0,119867647.93992695,-163
38,6959,97,ZeroIntelligenceTrader,32,BCM,0.0,0.0,174750938.72592598,-161
38,6959,71,ZeroIntelligenceTrader,32,BCM,0.0,0.0,60998809.534056164,-76
38,6959,8,FundamentalTrader,33,BCM,0.0,0.0,1350563567.5423276,-1610
38,6959,7,FundamentalTrader,33,BCM,0.0,0.0,946626014.210519,-1149
38,6959,29,FundamentalTrader,33,BCM,0.0,0.0,402295530.75728905,-478
38,6959,50,MomentumTrader,33,BCM,0.0,0.0,238914284.59259415,-177
38,6959,1,FundamentalTrader,33,BCM,0.0,0.0,699501616.7453271,-780
38,6959,86,ZeroIntelligenceTrader,33,BCM,0.0,0.0,194905696.19775388,-207
38,6959,83,ZeroIntelligenceTrader,33,BCM,0.0,0.0,93910552.66853695,-173
38,6959,18,FundamentalTrader,34,BCM,0.0,0.0,1518870881.4305813,-1816
38,6959,70,ZeroIntelligenceTrader,34,BCM,0.0,0.0,149424054.2812788,-133
38,6959,75,ZeroIntelligenceTrader,34,BCM,0.0,0.0,87027196.44953601,-113
38,6959,99,ZeroIntelligenceTrader,34,BCM,0.0,0.0,84564162.58775668,-116
38,6959,85,ZeroIntelligenceTrader,34,BCM,0.0,0.0,77175061.00241873,-79
38,6959,0,FundamentalTrader,100,NBCM,0.0,0.0,1646127630.955846,-1967
38,6959,47,MomentumTrader,100,NBCM,0.0,0.0,234809228.15629527,-178
38,6959,15,FundamentalTrader,101,NBCM,0.0,0.0,1397361210.9161346,-1655
38,6959,94,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,64406364.32936311,-92
38,6959,80,ZeroIntelligenceTrader,104,NBCM,0.0,0.0,60754835.25722325,-57
38,7019,74,ZeroIntelligenceTrader,33,BCM,0.0,0.0,193547700.70692834,-120
38,7019,64,ZeroIntelligenceTrader,33,BCM,0.0,0.0,85067681.68768765,-67
38,7019,51,MomentumTrader,34,BCM,0.0,0.0,197033621.16808033,-170
38,7019,46,MomentumTrader,34,BCM,0.0,0.0,128517102.39180033,-102
38,7019,62,ZeroIntelligenceTrader,34,BCM,0.0,0.0,115902130.09887077,-100
38,7019,82,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,157626896.93446428,-136
38,7019,73,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,75336384.56426601,-65
38,7019,12,FundamentalTrader,101,NBCM,0.0,0.0,1510762978.703137,-1079
38,7019,84,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,157982177.9512797,-82
38,7019,58,MomentumTrader,101,NBCM,0.0,0.0,177330259.0512723,-107
38,7019,91,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,125167550.6519804,-74
38,7019,87,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,108926228.52519731,-67
38,7019,43,MomentumTrader,102,NBCM,0.0,0.0,118220172.70084819,-102
38,7019,92,ZeroIntelligenceTrader,102,NBCM,0.0,0.0,156069432.7738331,-107
38,7019,93,ZeroIntelligenceTrader,102,NBCM,0.0,0.0,168058088.64336264,-145
40,6359,19,FundamentalTrader,34,BCM,0.0,0.0,624442060.449362,1458
40,6599,20,FundamentalTrader,33,BCM,0.0,0.0,392008035.2632646,938
40,7079,23,FundamentalTrader,102,NBCM,0.0,0.0,196495305.1889519,490
40,8639,26,FundamentalTrader,32,BCM,0.0,0.0,235817163.8786013,661
40,8639,3,FundamentalTrader,34,BCM,0.0,0.0,191316748.10953394,546
40,9179,8,FundamentalTrader,33,BCM,0.0,0.0,1216378582.3037765,3543
41,10079,19,FundamentalTrader,34,BCM,0.0,0.0,327456203.3662837,1116
41,10319,20,FundamentalTrader,33,BCM,0.0,0.0,197899526.6768948,696
